STABR,SURVYEAR,TYPE,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,DPL,FLAG_P_DPL,FLAG_P_G,STNAME
MD,2010,HP,96,92,64,56,74,45,64,80,87,57,63,23,28,A,A,Maryland
MA,2010,HP,76,69,79,97,95,69,54,75,114,86,71,73,70,A,A,Massachusetts
MI,2010,HP,105,95,106,98,125,105,92,98,128,119,109,186,119,A,A,Michigan
MN,2010,HP,38,50,39,40,33,41,27,25,19,37,44,72,32,A,A,Minnesota
MS,2010,HP,25,7,6,4,4,8,4,3,7,4,3,1,,A,,Mississippi
MO,2010,HP,101,87,93,88,86,80,87,73,57,69,79,40,40,A,A,Missouri
MT,2010,HP,33,29,21,36,31,25,25,24,35,27,34,21,19,A,A,Montana
NE,2010,HP,28,17,31,28,17,24,20,21,21,19,34,28,29,A,A,Nebraska
NV,2010,HP,343,341,370,339,335,408,389,377,339,314,287,278,291,A,A,Nevada
NH,2010,HP,12,10,9,9,9,5,9,14,7,15,9,7,7,A,A,New Hampshire
NJ,2010,HP,265,271,240,229,202,212,213,190,212,256,201,196,171,A,A,New Jersey
NM,2010,HP,18,18,8,9,14,10,18,7,19,11,11,12,10,A,A,New Mexico
NY,2010,HP,0,0,0,0,0,0,0,0,0,0,0,0,175,A,A,New York
NC,2010,HP,71,82,69,80,80,81,104,89,87,81,79,57,63,A,A,North Carolina
ND,2010,HP,16,20,16,19,9,11,15,12,20,14,14,13,14,A,A,North Dakota
OH,2010,HP,49,39,57,37,48,34,39,38,55,48,44,28,26,A,A,Ohio
OK,2010,HP,177,246,121,124,107,126,124,111,127,109,78,118,98,A,A,Oklahoma
OR,2010,HP,292,280,270,268,265,293,249,239,267,257,261,259,189,A,A,Oregon
PA,2010,HP,78,66,83,94,97,85,57,75,71,79,76,84,64,A,A,Pennsylvania
RI,2010,HP,14,14,13,9,9,11,9,7,33,23,31,28,28,A,A,Rhode Island
SC,2010,HP,65,53,69,79,62,63,69,60,69,81,57,49,48,A,A,South Carolina
SD,2010,HP,11,12,11,12,11,4,14,8,14,6,9,5,7,A,A,South Dakota
TN,2010,HP,103,95,65,99,71,75,86,83,71,71,64,72,78,A,A,Tennessee
TX,2010,HP,480,485,439,457,436,431,401,444,461,427,447,411,406,A,A,Texas
UT,2010,HP,810,782,742,721,705,727,682,622,631,635,585,651,457,A,A,Utah
VT,2010,HP,3,4,2,7,4,5,3,4,8,8,5,7,9,A,A,Vermont
VA,2010,HP,143,145,133,138,108,124,129,116,134,111,113,129,113,A,A,Virginia
WA,2010,HP,740,708,708,705,782,638,633,670,704,621,623,641,446,A,A,Washington
WV,2010,HP,8,4,5,3,5,5,2,3,3,2,1,3,,A,,West Virginia
WI,2010,HP,50,45,33,46,48,37,44,41,41,24,37,44,34,A,A,Wisconsin
WY,2010,HP,7,6,10,8,9,10,15,7,7,7,7,11,11,A,A,Wyoming
AL,2010,TR,354,257,239,198,198,162,105,72,90,64,48,28,47,A,A,Alabama
AK,2010,TR,865,798,858,802,825,721,652,647,635,583,582,510,402,A,A,Alaska
AZ,2010,TR,1251,1148,1105,1031,1052,1033,953,928,886,705,619,574,450,A,A,Arizona
AR,2010,TR,670,581,537,512,521,469,451,405,428,381,320,298,279,A,A,Arkansas
CA,2010,TR,17460,15410,14219,14347,13040,13293,12693,12268,14150,11719,10610,9709,8565,A,A,California
CO,2010,TR,1971,1994,1921,1975,1813,1740,1694,1589,1677,1505,1346,1264,1091,A,A,Colorado
CT,2010,TR,723,747,660,716,620,546,518,459,668,457,329,289,270,A,A,Connecticut
DE,2010,TR,173,158,173,195,191,145,117,105,77,62,43,43,38,A,A,Delaware
DC,2010,TR,67,71,46,45,39,38,23,30,27,33,37,21,20,A,A,District of Columbia
FL,2010,TR,7002,7054,6741,6628,6396,6115,5895,5566,5625,5268,4591,4049,3606,A,A,Florida
GA,2010,TR,4423,4363,4327,4262,3979,3872,3455,3339,3817,3281,2653,2388,2283,A,A,Georgia
HI,2010,TR,1216,1249,1226,1038,1122,1062,1054,846,1558,1235,1150,850,708,A,A,Hawaii
ID,2010,TR,353,344,340,345,351,340,306,266,352,245,294,242,206,A,A,Idaho
IL,2010,TR,5316,4942,4821,4715,4569,4303,4075,3839,4597,4295,3478,3325,2696,A,A,Illinois
IN,2010,TR,4317,3955,4018,3942,3657,3656,3317,3223,3135,3015,2532,2236,1818,A,A,Indiana
IA,2010,TR,1004,821,869,837,784,729,771,730,770,655,605,581,490,A,A,Iowa
KS,2010,TR,1766,1710,1748,1667,1611,1515,1468,1437,1462,1392,1212,1156,1038,A,A,Kansas
KY,2010,TR,1186,1089,1050,986,945,928,842,776,683,534,400,347,302,A,A,Kentucky
LA,2010,TR,766,677,575,563,487,477,355,347,417,319,228,218,216,A,A,Louisiana
ME,2010,TR,426,389,391,367,359,392,346,335,294,281,250,245,82,A,A,Maine
MD,2010,TR,2781,2813,2654,2455,2396,2175,2114,2011,1916,1763,1500,1264,1290,A,A,Maryland
MA,2010,TR,2326,2150,1928,1991,1737,1579,1499,1454,1504,1393,1184,1110,1028,A,A,Massachusetts
MI,2010,TR,2889,2577,2507,2417,2421,2305,2203,2033,2020,1879,1514,1240,1781,A,A,Michigan
MN,2010,TR,2184,1447,1028,973,901,887,848,721,776,780,642,710,457,A,A,Minnesota
MS,2010,TR,365,213,142,159,127,125,118,184,194,119,40,28,,A,,Mississippi
MO,2010,TR,983,891,885,900,787,802,789,784,961,684,618,551,549,A,A,Missouri
MT,2010,TR,202,202,189,174,148,153,147,156,178,133,127,88,69,A,A,Montana
NE,2010,TR,753,718,691,644,662,647,548,591,672,585,583,502,488,A,A,Nebraska
NV,2010,TR,1609,1636,1489,1548,1473,1614,1603,1574,1196,1128,1026,803,915,A,A,Nevada
NH,2010,TR,274,262,254,239,218,204,225,167,238,154,150,81,69,A,A,New Hampshire
NJ,2010,TR,1150,888,726,633,652,626,560,521,545,413,393,321,270,A,A,New Jersey
NM,2010,TR,260,274,248,272,276,238,241,214,251,230,194,179,165,A,A,New Mexico
NY,2010,TR,2201,1896,1490,1151,1179,1016,919,801,755,547,462,358,502,A,A,New York
